first_name,second_name,team,now_cost,total_points,minutes
Gonçalo Manuel,Ganchinho Guedes,20,55,0,0
Marshall,Munetsi,20,55,9,270
Boubacar,Traoré,20,50,0,0
Tawanda,Chirewa,20,44,0,0
Tom,Edozie,20,44,0,0
Enso,González Medina,20,44,0,0
Joe,Hodge,20,45,0,0
Jørgen,Strand Larsen,20,64,4,158
Fábio,Soares Silva,20,49,0,0
Saša,Kalajdžić,20,49,1,14
Leon,Chiwome,20,45,0,0
Nathan,Fraser,20,44,0,0
Jhon,Arias,20,54,4,135
David,Møller Wolfe,20,45,6,131
Jackson,Tchatchoua,20,45,2,117
Ladislav,Krejcí,20,45,0,0
Tolu,Arokodare,20,55,0,0
